Class Name,Total Count,Training Count,Validation Count,Test Count
ball_unknown,264,193,36,35
ball_03_pink,81,59,15,7
ball_18_yellow,82,59,17,6
user_cursor,72,56,8,8
ball_02_yellow,79,56,17,6
ball_10_yellow,72,52,13,7
ball_02_pink,67,50,10,7
ball_10_pink,69,49,13,7
ball_03_yellow,67,49,11,7
ball_05_pink,68,49,12,7
ball_06_yellow,63,48,10,5
ball_09_pink,66,48,13,5
ball_07_yellow,65,47,12,6
ball_11_pink,59,46,8,5
ball_07_pink,62,46,10,6
ball_05_yellow,61,46,10,5
ball_12_pink,61,45,10,6
ball_01_pink,55,43,8,4
ball_06_pink,59,43,12,4
ball_08_pink,58,43,10,5
ball_11_yellow,54,42,8,4
ball_21_yellow,54,42,8,4
ball_04_yellow,53,42,8,3
ball_20_pink,55,41,10,4
ball_25_pink,53,41,8,4
ball_14_pink,56,41,10,5
ball_08_yellow,56,40,10,6
ball_04_pink,50,39,7,4
ball_15_pink,53,39,10,4
ball_22_pink,50,38,8,4
ball_19_yellow,50,36,10,4
ball_14_yellow,48,35,9,4
ball_16_yellow,49,35,10,4
ball_19_pink,45,34,7,4
ball_21_pink,46,34,8,4
ball_18_pink,43,33,6,4
ball_24_yellow,41,32,6,3
ball_25_yellow,44,32,8,4
ball_22_yellow,42,32,6,4
ball_24_pink,42,31,7,4
ball_09_yellow,44,31,8,5
ball_12_yellow,42,31,7,4
ball_23_pink,36,29,5,2
ball_13_yellow,38,28,7,3
ball_23_yellow,35,27,6,2
ball_17_yellow,36,27,8,1
ball_16_pink,34,25,8,1
ball_15_yellow,34,25,6,3
ball_20_yellow,34,24,7,3
ball_17_pink,29,23,6,0
ball_13_pink,27,22,4,1